% Model:              avaB5.mph
% Version:            COMSOL 5.5.0.359
% Date:               Dec 5 2022, 23:32
% Dimension:          1
% Nodes:              101
% Expressions:        91
% Description:        Dependent variable u
% X                       u (1) @ t=0              u (1) @ t=0.1            u (1) @ t=0.2            u (1) @ t=0.3            u (1) @ t=0.4            u (1) @ t=0.5            u (1) @ t=0.6            u (1) @ t=0.7            u (1) @ t=0.8            u (1) @ t=0.9            u (1) @ t=1              u (1) @ t=1.1            u (1) @ t=1.2            u (1) @ t=1.3            u (1) @ t=1.4            u (1) @ t=1.5            u (1) @ t=1.6            u (1) @ t=1.7            u (1) @ t=1.8            u (1) @ t=1.9            u (1) @ t=2              u (1) @ t=2.1            u (1) @ t=2.2            u (1) @ t=2.3            u (1) @ t=2.4            u (1) @ t=2.5            u (1) @ t=2.6            u (1) @ t=2.7            u (1) @ t=2.8            u (1) @ t=2.9            u (1) @ t=3              u (1) @ t=3.1            u (1) @ t=3.2            u (1) @ t=3.3            u (1) @ t=3.4            u (1) @ t=3.5            u (1) @ t=3.6            u (1) @ t=3.7            u (1) @ t=3.8            u (1) @ t=3.9            u (1) @ t=4              u (1) @ t=4.1            u (1) @ t=4.2            u (1) @ t=4.3            u (1) @ t=4.4            u (1) @ t=4.5            u (1) @ t=4.6            u (1) @ t=4.7            u (1) @ t=4.8            u (1) @ t=4.9            u (1) @ t=5              u (1) @ t=5.1            u (1) @ t=5.2            u (1) @ t=5.3            u (1) @ t=5.4            u (1) @ t=5.5            u (1) @ t=5.6            u (1) @ t=5.7            u (1) @ t=5.8            u (1) @ t=5.9            u (1) @ t=6              u (1) @ t=6.1            u (1) @ t=6.2            u (1) @ t=6.3            u (1) @ t=6.4            u (1) @ t=6.5            u (1) @ t=6.6            u (1) @ t=6.7            u (1) @ t=6.8            u (1) @ t=6.9            u (1) @ t=7              u (1) @ t=7.1            u (1) @ t=7.2            u (1) @ t=7.3            u (1) @ t=7.4            u (1) @ t=7.5            u (1) @ t=7.6            u (1) @ t=7.7            u (1) @ t=7.8            u (1) @ t=7.9            u (1) @ t=8              u (1) @ t=8.1            u (1) @ t=8.2            u (1) @ t=8.3            u (1) @ t=8.4            u (1) @ t=8.5            u (1) @ t=8.6            u (1) @ t=8.7            u (1) @ t=8.8            u (1) @ t=8.9            u (1) @ t=9
0                         0.1                      0.08910065241883676      0.05877852522924695      0.01564344650402324      -0.03090169943737047     -0.07071067811865425     -0.09510565162951565     -0.09876883405951375     -0.08090169943749483     -0.045399049973954705    -1.4306060199721766E-17  0.04539904997395466      0.08090169943749481      0.09876883405951377      0.09510565162951533      0.07071067811865475      0.03090169943749476      -0.015643446504023183    -0.05877852522924725     -0.08910065241883683     -0.09999999999999999     -0.0891006524188368      -0.05877852522924724     -0.01564344650402301     0.030901699437494764     0.0707106781186547       0.09510565162951536      0.09876883405951374      0.08090169943749474      0.04539904997395461      1.0478690127850877E-16   -0.04539904997395487     -0.08090169943749471     -0.09876883405952837     -0.09510565162951289     -0.070710678118656       -0.030901699437493553    0.015643446503914565     0.058778525229261656     0.08910065241023074      0.10000000000001259      0.08910065241883668      0.05877852522924782      0.01564344650402321      -0.030901699437495718    -0.0707106781186543      -0.09510565162951548     -0.09876883405951385     -0.08090169943749462     -0.04539904997395526     -7.862381702449523E-17   0.04539904997395475      0.08090169943749484      0.09876883405951384      0.09510565162951538      0.07071067811865489      0.030901699437494646     -0.015643446504027814    -0.05877852522924766     -0.0891006524188368      -0.10000000000000003     -0.08910065241883677     -0.058778525229247404    -0.015643446504022773    0.030901699437495128     0.07071067811865482      0.09510565162951531      0.09876883405951378      0.08090169943749478      0.04539904997395432      1.9236980054643766E-16   -0.0453990499739594      -0.0809016994374948      -0.0987688340595138      -0.09510565162952007     -0.07071067811865485     -0.03090169943749949     0.015643446504023165     0.058778525223720984     0.08910065241878964      0.10000000000014253      0.08910065241883913      0.05877852523005871      0.01564344650402214      -0.030901699437495544    -0.07071067811865467     -0.09510565162951486     -0.09876883405951392     -0.08090169943749465     -0.045399049973954934    3.071680623369733E-16
0.010000000000000004      0.017155047109906067     0.09174404676520731      0.06248400072341068      0.020300665354692268     -0.026389153792622834    -0.06728838947847597     -0.0935776023901761      -0.099382405927696       -0.08359914963336286     -0.04955216109785335     -0.004724497328363683    0.04177641220142248      0.08050206403388242      0.10064294146932942      0.10047629249669818      0.07179849198061194      0.033407241038139586     -0.011166740881154739    -0.050277010785627387    -0.06992526039109934     -0.17682247036298532     -0.08619415714043555     -0.05908622123288887     -0.01523513664493788     0.038455544684312726     0.07744243539702222      0.09139301748467275      0.09824555635775319      0.07502020978331139      0.042305264809456074     -0.007167577286372511    -0.04901473982560622     -0.0832642373392373      -0.10236141007217364     -0.09268756191171142     -0.0652657909621215      -0.0225766848832843      0.019127282440022538     0.0583633911948314       0.0707827817867491       0.02874348802129207      0.08895329641719325      0.060245251463595766     0.023106534661857456     -0.027123018589442684    -0.0712182926880104      -0.09236935451156308     -0.09508790679882756     -0.0800776131219453      -0.04670417681019243     -4.2237410119682077E-4   0.039255856561416454     0.08050026374224657      0.09654788096202124      0.09590528860073379      0.08104274348895973      0.04264238480133665      -0.015550848240022466    -0.04433708612674986     -0.09508563899923225     -0.1606444035946024      -0.08662464795168374     -0.05418805333948272     -0.011908646073143934    0.03405820906595356      0.0736819718983908       0.09854089657786601      0.10683723615540548      0.08251676411980584      0.04642636146040107      -0.008396081176762877    -0.05059283390196393     -0.07870866263098845     -0.10356750314679915     -0.09158398961903919     -0.07266515261836835     -0.022574892442724877    0.01597126814265557      0.060319356563009956     0.0965450498853532       0.04115616598053507      0.09516130298359436      0.06145867869377341      0.02353942248273468      -0.025204717202840864    -0.06555026807344776     -0.09003842557258485     -0.09684026031049005     -0.08465060633689443     -0.055062874155379735    -0.009409294830819185
0.020000000000000007      0.0029429563911227592    0.09254828807705676      0.06615047418827814      0.024707110218509208     -0.021716352142345442    -0.06377625876612482     -0.0917541870232788      -0.09979123101909415     -0.08603790382313353     -0.05359609816848882     -0.009369526891788034    0.04023942288665502      0.06839838250720039      0.09238320209676328      0.0951313337673388       0.07870674435704354      0.04176354246441909      -0.004074191178866643    -0.05743305593451028     -0.10092432601861265     -0.2188333864547379      -0.0850507974634498      -0.052616144073677616    -0.008457049896140103    0.036539611487328955     0.07224980370523199      0.10029997874185456      0.09833152424364931      0.07821150030355685      0.03615194124775534      -0.0068266225356032      -0.05238907288591875     -0.08598946816417813     -0.10247542349155525     -0.0936829658377794      -0.06278735865409697     -0.019063121497020052    0.03438837851574498      0.07246412418725845      0.09780443217205495      -0.010599389181248812    0.09869444667220106      0.06766071636031479      0.023031575179969677     -0.018512804540969107    -0.06444203397183655     -0.09247630654546139     -0.10132226940762597     -0.08929791118164118     -0.05614628795243987     -0.013230288766021807    0.040071447093686666     0.07172683908639635      0.09620455180642203      0.10072170572257172      0.07003251790710574      0.03292168201708745      -0.0016886017857197914   -0.05588469369515361     -0.08463630278627733     -0.21174919524602848     -0.08718193739219701     -0.05322802623701739     -0.005396541196458247    0.04217084845048046      0.0791122886546405       0.09455850194586084      0.09778261303088497      0.07241040019420149      0.033444389664661976     -0.009698918393655923    -0.0528952007603789      -0.09018129039131656     -0.09117472672379225     -0.09143603561465392     -0.05511429598070179     -0.027573677204121814    0.025340406088410036     0.07107288576098172      0.09643842568342263      -0.005991612278653341    0.08881339831892766      0.06457190431889329      0.024135295312114658     -0.018703043253316325    -0.0637432129454956      -0.09314286401964983     -0.09950817941411422     -0.08541955878871041     -0.05589494577980648     -0.010640412414592433
0.030000000000000013      5.048655476664678E-4     0.09646667159817697      0.06945162503524235      0.02947172733702824      -0.017198164423619457    -0.06000573620726457     -0.0899020666449139      -0.09994648310584657     -0.0884324550016398      -0.0575192878170451      -0.014105548306076871    0.03451551587940938      0.06722463290640796      0.09638447903922588      0.1039180549599432       0.07593180797119321      0.039295593619323214     -0.00246833239200706     -0.03606238908470681     -0.08082181821094782     -0.20746567081732986     -0.07990818203684268     -0.041066188915622207    7.128454250824243E-5     0.04197695169278338      0.07852055867227441      0.09537427645813765      0.09565332459733389      0.06697353198385185      0.03456611823059333      -0.019273580929132065    -0.056634320833276984    -0.0878866070595828      -0.10080667593662132     -0.09621167364904916     -0.06162336028129254     -0.019089945649481407    0.020029057777934612     0.06982215523280208      0.11301535577920414      -0.020214735727000614    0.09188135259078423      0.06612733624051871      0.033981464976576795     -0.023994260169084583    -0.05452007838771476     -0.0846373165868446      -0.09912326820321783     -0.0875316767103355      -0.05581276919071719     -0.012068274266463536    0.032610540429153886     0.07163660331988511      0.09368753710984869      0.0982973881451311       0.0900806116458735       0.05092235340693739      -0.0017659209464889513   -0.04945230684927341     -0.07293597667377176     -0.21815457730933435     -0.08331763802847117     -0.05079999895957173     -0.003572992171425367    0.043089275539304465     0.07919129115839627      0.10073379224966546      0.09295359322675956      0.0721832767999496       0.03248771843225607      -0.01132762952121509     -0.06445411049209683     -0.08475606693381402     -0.11184082793257888     -0.08949078222876491     -0.06674209713762681     -0.019037609491772828    0.033482630355634        0.0691461955512936       0.09162633884325588      -0.020709503953985443    0.0940550529277737       0.07358284270084535      0.027723502277873523     -0.02062637751706774     -0.059220173219472275    -0.08724479190112412     -0.1009579184739075      -0.08831909770451292     -0.052170679934351115    -0.015817106459604137
0.04000000000000002       8.66099205739625E-5      0.0951652229453683       0.07290835743446111      0.03356216969240755      -0.012333740603613067    -0.05627812518410535     -0.0875862567908084      -0.09992668093063667     -0.090410876264834       -0.06131703102890054     -0.018648637442219212    0.023335142793920485     0.07618011828753965      0.09599434930104082      0.0983215249684498       0.08469932592977314      0.051803894550564424     0.006290748091988745     -0.0505206404947217      -0.06153274361534335     -0.18268336841423466     -0.08032514020894982     -0.039351339433212826    0.006062124874265458     0.052918402560807        0.08851735544215106      0.0965500991834746       0.09432002283149823      0.0699375319404035       0.026999748950523247     -0.01474879428582085     -0.059879354548000946    -0.0903780627900031      -0.09688194928627071     -0.08293360671690363     -0.05428124611866648     -0.009029660983636965    0.0438755057490107       0.0723251408953382       0.08617514551355254      1.9188470879736972E-4    0.0979080389861218       0.07419318827925826      0.032932459015961466     -0.009062809462014165    -0.05539181282895364     -0.0909931670621727      -0.10226135948589414     -0.090426512047916       -0.06078295221075953     -0.018115172498174733    0.0240382377499603       0.07048507965283375      0.0942646951254489       0.10072225445556734      0.07018888340725515      0.050031090300383746     -4.201580683082746E-4    -0.03718859429239779     -0.0784806139501256      -0.1996592504867995      -0.07690794055105235     -0.0368206776863006      0.005974871356533149     0.04853203907161314      0.08393753576132904      0.09978810088020804      0.08943295435370507      0.0697264268172982       0.026345671305335307     -0.018533603092574055    -0.05649183782955452     -0.09264716344654711     -0.08993040311326868     -0.08726974704053633     -0.05355616268402924     -0.00554487290300822     0.03480226434553766      0.07266314960662208      0.09072923208543181      -0.010787845200100418    0.0998942928023221       0.06998093158706416      0.03518134331868431      -0.008907177388469417    -0.055704075852401655    -0.08694841543596309     -0.09645160653193316     -0.09066176087617538     -0.05770084404007007     -0.014299558608835935
0.05000000000000003       1.4857972225692035E-5    0.1004201031782007       0.0757462212140524       0.03838838556475166      -0.007854216302887625    -0.05219704040555748     -0.08542844670914987     -0.09962280413129723     -0.09248327191004331     -0.06497564779403055     -0.023417085345247356    0.017855868500468944     0.06766963234089843      0.09023385323198092      0.09839327886032002      0.08363830346234713      0.04746792722126665      0.005876843297183624     -0.03185614109942841     -0.08797107613619441     -0.18784251690535575     -0.07324531985071654     -0.040023144319792786    0.009706547956274068     0.05433516341266936      0.08205898788244602      0.10538932797284377      0.09166202322556012      0.06493993376955033      0.023831013206407067     -0.026741187972896693    -0.06497772435462476     -0.0923218807225867      -0.09997840014571932     -0.08175263189080764     -0.053068779903350335    -0.007664226975026158    0.03491289306284376      0.07322129049235004      0.08630519879287271      0.021621257303666548     0.09832179515160938      0.07597143198783962      0.03831092576177521      -0.00781154224556441     -0.055364758312514924    -0.08313147487278853     -0.09750483495527365     -0.08939903010145951     -0.06324579064494268     -0.023788943214546977    0.025477018056915393     0.05938905420049493      0.09234008779994124      0.09979914910471752      0.09446138767778466      0.036379853081239415     0.012964363100619646     -0.03698356708791724     -0.09363203028771512     -0.17826690145184712     -0.07494537131776748     -0.04197786525610066     0.006356274690699735     0.05236478081985054      0.08385815235243017      0.09630795835046327      0.09445363928230752      0.06976565731397051      0.023700598204707393     -0.02590654493011812     -0.06532898637894412     -0.0904523732344663      -0.10673270625525011     -0.08167141562415632     -0.04864212967777796     -0.014692570212559344    0.03549057266198769      0.07916207947030543      0.09230455195545136      0.00409343985979589      0.09874794692274755      0.07310155166121414      0.03633228422770456      -0.009234275911248542    -0.05221713004106742     -0.08567517713433376     -0.10246940899967873     -0.09253262712252747     -0.06667061029831316     -0.02423096831734886
0.06000000000000004       2.5488920382549777E-6    0.09676659845894238      0.07896907586062707      0.04214363164776636      -0.0028336942497211655   -0.04828508956054051     -0.0826365861603794      -0.09917291481286043     -0.0939822630513787      -0.06849286182692901     -0.027824300323131188    0.021679718956718635     0.05665656249445839      0.09222855240972955      0.10079078908374454      0.08848535632058985      0.06025520882203258      0.014892986813427883     -0.0330309209842242      -0.07756802545228184     -0.20508934697585476     -0.07484391188526027     -0.040125206979616045    0.015903148012896638     0.05326768584752539      0.08914216867899308      0.09882661094072874      0.08829661038983018      0.05860826714360104      0.018783067693443654     -0.024781165030943873    -0.067768482825781       -0.09388503682695942     -0.10187833908349428     -0.08186934901680326     -0.04690729289255557     -0.012186388002975064    0.03259129634898356      0.08343294192805313      0.10058330579750001      -0.004746442344146034    0.09526711430703881      0.07945977657185853      0.04503396932684816      0.0011278559892263916    -0.04956701894271502     -0.08409190811658188     -0.10378711542741828     -0.09988862976976756     -0.07268878664012679     -0.03251388294173692     0.015618985367150976     0.0639392995761225       0.09205367939449573      0.10012082420098226      0.08780843623081014      0.07390680773703848      0.011590477771420728     -0.04391575514185617     -0.07504377092090381     -0.18296220801754048     -0.07091324836644448     -0.03121431132285546     0.01490668436119328      0.056229062286430084     0.08808042641835466      0.10296236667429977      0.0964772210170602       0.060605894514961456     0.02013721100067078      -0.021614014139014558    -0.0695983886279649      -0.09863552723345775     -0.10054551954134149     -0.09183796702369669     -0.052444584543120155    -1.1369975410529847E-4   0.044168136883171234     0.07503083202010284      0.09996984794072519      0.01845514833491976      0.09987666515540396      0.08390855224137832      0.040936515481377965     -0.007412140457519975    -0.04990392413729163     -0.08441448231260885     -0.10161586736579742     -0.09463743297561485     -0.07194701577395048     -0.02742422370717258
0.07000000000000005       4.3726361004734417E-7    0.10336612424372811      0.08128122775975735      0.04697904732176865      0.0015581671685696663    -0.04393599547659836     -0.08019597664805918     -0.09841407968724197     -0.09571726563413037     -0.07185480909024564     -0.03243799473888245     0.02070561565526662      0.06143515992496175      0.08871405278911294      0.09609093084575403      0.09128771819446055      0.057697334802799635     0.014919599505975198     -0.03645705202667175     -0.06824692362226953     -0.18703556761318602     -0.0653266305272373      -0.02597863903999285     0.0163954940964129       0.0642034503268871       0.0948905478548882       0.09983010428297114      0.0870436838608196       0.061444728450833576     0.01157540074675231      -0.031357046482302794    -0.07280856914018001     -0.09666359197257673     -0.10316502453545137     -0.08985813796264275     -0.04574108488085801     0.010912165603114239     0.058912546487295686     0.07971522685114463      0.11404273222087026      -0.007522383173883639    0.1013643496956981       0.08365143903395286      0.0417190210894266       5.208483150807613E-4     -0.04081141238987929     -0.07851164980050256     -0.09498316421811273     -0.09064934939054481     -0.06791794583963155     -0.02673013988366833     0.011534990005089124     0.057005816150160066     0.08914387931361827      0.09833987968851692      0.09023055235249494      0.05139519075033814      0.011707026267044843     -0.02360677277228193     -0.04106484649591979     -0.19728427940026502     -0.06607688531263292     -0.027648015740845324    0.015502272108459456     0.05908849561729855      0.08837121732185375      0.10317947828338798      0.0885048830490472       0.051482898806696084     0.012429801617379747     -0.03644736177633615     -0.06948563183481052     -0.09594231297605656     -0.09186230327862947     -0.07084060485235943     -0.04363309345540854     0.008263202182819557     0.05020971700964337      0.07944716016820018      0.11451253997999056      -4.1189300515564147E-4   0.09435921905295432      0.08081085720926819      0.04732890990498145      0.004946133385749451     -0.04237145429283522     -0.07927057398796418     -0.09519106953106449     -0.09960290608734777     -0.07508262234509516     -0.028428925689455466
0.08000000000000006       7.501277431573317E-8     0.09728499751897698      0.08427006707226192      0.05039401332426163      0.006700688150454986     -0.03987002433637911     -0.07694642733906962     -0.09753582099821843     -0.09672084136447097     -0.07505931515774072     -0.036514360031887454    0.008864461050588586     0.05543941470375357      0.08567444202523129      0.09961080568685571      0.09155920141035574      0.06642160838612096      0.02188663338165846      -0.016079707789543433    -0.04366833067578914     -0.17662806617869217     -0.06865676353811087     -0.020245896424451598    0.016074088682149525     0.06488120505054347      0.08910380333162868      0.10496704203635772      0.08576205968338098      0.05104367563934617      0.011268085097688835     -0.03672681516272384     -0.07518825838627873     -0.09669908060224346     -0.09430937774329924     -0.0739338126593999      -0.03630924117702732     0.00176541048727039      0.04334964879187415      0.07936073385811644      0.11042729093305038      -0.0014213050223365943   0.09853504877328714      0.08497016153603826      0.055124353354841664     0.0027155572035939754    -0.03800904703102983     -0.07701998760446874     -0.0939428942778072      -0.09723481889371396     -0.07831541665646609     -0.04235209814312509     0.012635495924131566     0.05155634380859189      0.08661704896171801      0.10159996221421178      0.09409456445502606      0.07003159472278556      0.030014555718020208     -0.02487792864061129     -0.055161607492400226    -0.194087345512648       -0.0667555862499113      -0.0251185024910077      0.02136034022987654      0.06419050214688851      0.09422554752018479      0.09816153065809605      0.08142728146748446      0.051309408655782415     0.01441851955479446      -0.038262891181489345    -0.07385571569080342     -0.09340011172720962     -0.10581220655415431     -0.08207767261989662     -0.03320108380277398     -0.0019053515146496287   0.046325859656066865     0.0942660919025831       0.11332430397389971      -0.010016136039911144    0.09736973703105327      0.08153344453855839      0.054965785317075376     0.006782958440601542     -0.03960251965852237     -0.0765778965830293      -0.10045710671082367     -0.0936656344429028      -0.0685131860830779      -0.04088561865434733
0.09000000000000007       1.2868475991470381E-8    0.10469480398481767      0.08599870027806258      0.05517760650061032      0.01095102222628358      -0.03530011573337672     -0.074250070529891       -0.09633127589417499     -0.09810731354649087     -0.07809533154438983     -0.04115617738931707     3.018645509721653E-4     0.03994261888326143      0.08244559249029475      0.09920793854979133      0.09456662219361615      0.06808409843877355      0.026123134226985967     -0.02736885266560355     -0.07585876279757196     -0.19082320754164406     -0.06849405636584945     -0.01765532435161831     0.023657817943220277     0.061475313513291996     0.08953515582422271      0.09365755220128869      0.08123172262261523      0.04978149721907946      0.0013680459316077844    -0.03727463400510727     -0.07858747574207146     -0.0995582567078666      -0.09186922025157165     -0.06934771099764832     -0.0379855027411574      0.015404883687218419     0.052528548031575126     0.08793873917200361      0.08853319336401881      0.0097892436129027       0.0842161784665024       0.08607590927375133      0.050050965638988004     0.013981079941220926     -0.038114593837947734    -0.07690843949948761     -0.09461593813232419     -0.09879247791103953     -0.08016000278002748     -0.039341200138284745    0.005540518074758222     0.05241268545046724      0.08365175298970007      0.09807055521091754      0.08540805160325671      0.0666167400657793       0.020602116642425547     -0.015234598515544422    -0.09229745158888758     -0.1869439071397148      -0.08002063973463436     -0.024378855311344098    0.024688832521667915     0.0683497586651255       0.09383884707469987      0.10165690782824412      0.0849083737190169       0.05501743869034411      0.007555775225408927     -0.04402547959656241     -0.07917910461303236     -0.10445518317434974     -0.08730800189208529     -0.07758665723688499     -0.04718812435360811     0.014297871518983069     0.05605059872273728      0.08521255025420212      0.07714515466609562      -0.005112563149438044    0.08659605334711701      0.0902446897082226       0.05553693117849107      0.010471279220994925     -0.035207892157327676    -0.07582003151029129     -0.0956825591188665      -0.09612294671390377     -0.08038997749960318     -0.03510918567583555
